time,packetlength,payloadlength
8.799609,154,88
8.799826,66,0
8.800316,66,0
8.800572,1514,1448
8.800613,410,344
8.801143,66,0
8.801581,66,0
8.801838,1514,1448
8.80188,154,88
8.801953,66,0
8.802321,1514,1448
8.802372,154,88
8.802899,66,0
8.803412,66,0
8.80368,1514,1448
8.803726,154,88
8.804281,66,0
8.804774,66,0
8.805057,1514,1448
8.805101,410,344
8.805633,66,0
8.805997,66,0
8.806381,1514,1448
8.806427,154,88
8.80686,66,0
8.807556,66,0
8.807903,66,0
8.808272,66,0
8.809,66,0
8.809345,66,0
8.809673,66,0
8.810044,66,0
8.810381,66,0
8.810751,66,0
8.811042,66,0
8.811364,66,0
8.811651,66,0
8.811931,66,0
8.812695,66,0
8.812986,66,0
8.813337,66,0
8.813674,66,0
8.814016,66,0
8.814357,66,0
8.814664,66,0
8.814984,66,0
8.815332,66,0
8.815683,66,0
8.816503,66,0
8.816828,66,0
8.817223,66,0
8.817882,66,0
8.818223,66,0
8.818611,66,0
8.818872,66,0
8.819146,66,0
8.819383,66,0
8.819658,66,0
8.819985,66,0
8.820623,66,0
8.820874,66,0
8.821168,66,0
8.821429,66,0
8.82175,66,0
8.821988,66,0
8.822209,66,0
8.82228,178,112
8.822678,66,0
8.823476,1514,1448
8.82353,1514,1448
8.823572,130,64
8.82378,1514,1448
8.823895,66,0
8.823978,154,88
8.824234,66,0
8.824243,1514,1448
8.824286,1514,1448
8.824333,498,432
8.824542,66,0
8.824752,66,0
8.825247,1514,1448
8.825293,1514,1448
8.825333,1514,1448
8.825369,330,264
8.825546,1514,1448
8.825601,1514,1448
8.825646,1514,1448
8.825683,1514,1448
8.825729,1514,1448
8.825778,1514,1448
8.825822,1514,1448
8.825872,1514,1448
8.825922,1514,1448
8.825976,1514,1448
8.82602,1514,1448
8.826458,1514,1448
8.826506,1514,1448
8.826553,666,600
8.826841,1514,1448
8.826891,1514,1448
8.826932,1514,1448
8.826985,1514,1448
8.827032,1514,1448
8.82707,1514,1448
8.827111,1514,1448
8.82715,1514,1448
8.827195,1514,1448
8.827239,1514,1448
8.82728,1514,1448
8.827322,1514,1448
8.827524,1514,1448
8.827572,1514,1448
8.831969,66,0
8.832992,66,0
8.833558,1514,1448
8.833614,1514,1448
8.833654,1514,1448
8.833694,1514,1448
8.833737,1514,1448
8.833782,1514,1448
8.83382,1514,1448
8.833864,1514,1448
8.834111,1514,1448
8.834161,1514,1448
8.834205,1514,1448
8.834246,1514,1448
8.834284,98,32
8.834596,66,0
8.835482,66,0
8.835931,1514,1448
8.836071,154,88
8.837123,66,0
8.837852,66,0
8.838165,1514,1448
8.83821,154,88
8.838754,66,0
8.839282,66,0
8.839529,1514,1448
8.839571,410,344
8.839629,66,0
8.839788,1514,1448
8.839838,154,88
8.840099,66,0
8.840829,66,0
8.841179,1514,1448
8.841219,66,0
8.841226,154,88
8.841398,1514,1448
8.84144,154,88
8.841878,66,0
8.842148,66,0
8.842417,1514,1448
8.842458,410,344
8.842886,66,0
8.843342,66,0
8.843589,1514,1448
8.843631,154,88
8.844154,66,0
8.844648,66,0
8.844878,1514,1448
8.844927,154,88
8.845287,66,0
8.845577,1514,1448
8.845628,154,88
8.846497,66,0
8.847113,66,0
8.847447,1514,1448
8.847497,154,88
8.849127,66,0
8.849815,66,0
8.850157,66,0
8.85042,66,0
8.850707,66,0
8.850974,66,0
8.851293,66,0
8.85156,66,0
8.851843,66,0
8.852146,66,0
8.852436,66,0
8.85331,66,0
8.853613,66,0
8.85388,66,0
8.854172,66,0
8.85444,66,0
8.854729,66,0
8.855003,66,0
8.855299,66,0
8.85557,66,0
8.855851,66,0
8.856556,66,0
8.856818,66,0
8.857124,66,0
8.857391,66,0
8.857656,66,0
8.857929,66,0
8.858283,66,0
8.858496,1514,1448
8.858543,410,344
8.858774,1514,1448
8.858819,154,88
8.859004,1514,1448
8.859049,154,88
8.85922,1514,1448
8.859265,154,88
8.859465,1514,1448
8.859511,154,88
8.859778,754,688
8.859961,1514,1448
8.860153,1258,1192
8.860734,1514,1448
8.860787,1514,1448
8.860828,1514,1448
8.860871,1514,1448
8.860917,674,608
8.86161,1514,1448
8.861665,1514,1448
8.861709,1514,1448
8.861756,1514,1448
8.861806,1514,1448
8.861854,1514,1448
8.861902,1514,1448
8.861948,1514,1448
8.862092,1514,1448
8.862174,1514,1448
8.862234,1514,1448
8.862287,1514,1448
8.866825,66,0
8.867212,66,0
8.867541,66,0
8.867833,66,0
8.868177,66,0
8.868995,66,0
8.869313,66,0
8.869605,66,0
8.869921,66,0
8.870272,66,0
8.870578,66,0
8.870872,66,0
8.871202,66,0
8.871513,66,0
8.871833,66,0
8.872572,66,0
8.872805,66,0
8.873059,66,0
8.873294,66,0
8.873521,66,0
8.873747,66,0
8.873978,66,0
8.87421,66,0
8.874486,66,0
8.874718,66,0
8.875352,66,0
8.875573,66,0
8.875789,66,0
8.876039,66,0
8.876271,66,0
8.876509,66,0
8.876919,66,0
8.87722,66,0
8.877453,66,0
8.877684,66,0
8.878335,66,0
8.878562,66,0
8.88289,1514,1448
8.883012,1514,1448
8.883065,1514,1448
8.883743,66,0
8.887777,1162,1096
8.888419,1514,1448
8.888529,1514,1448
8.888629,1514,1448
8.888644,66,0
8.888798,1514,1448
8.888902,66,0
8.888909,1514,1448
8.889118,66,0
8.889302,1514,1448
8.890153,1514,1448
8.890282,1514,1448
8.890469,1514,1448
8.890544,66,0
8.890648,1514,1448
8.89077,1514,1448
8.890836,66,0
8.89091,1514,1448
8.891128,66,0
8.892332,1514,1448
8.892489,1514,1448
8.892605,1514,1448
8.892674,66,0
8.892816,1514,1448
8.892885,1514,1448
8.892934,1514,1448
8.892977,66,0
8.893161,66,0
8.893579,66,0
8.893928,66,0
8.894188,66,0
8.894469,66,0
8.894729,66,0
8.894988,66,0
8.895732,66,0
8.896133,66,0
8.89662,1514,1448
8.896741,1514,1448
8.896792,1514,1448
8.89714,66,0
8.897497,66,0
8.897814,66,0
8.898407,66,0
8.898768,66,0
8.898854,1514,1448
8.899291,66,0
8.89969,1514,1448
