No.,Time,Protocol,Info,Source IP and port,Dest IP and port,Length,Payload in Bytes
102,3.244058,TCP(TCP),37203 \xe2\x86\x92 3389 [ACK] Seq=3171 Ack=6711 Win=62592 Len=0 TSval=3980783306 TSecr=1226385,192.168.1.135:37203,192.168.1.3:3389,66,
97,3.210665,TLSv1(TCP),Application Data,192.168.1.135:37203,192.168.1.3:3389,151,17030100501679eb40db5e02c47c78e1601cb446910403bc21b014d96ba79a3804af30edc2018e620b4073d952e9ca9a7a13f3bb09c8afb8d1db6a10bf7a731a9cf4b56c0a98ad533486516977a4a6a2cb21d62200
96,3.210246,TLSv1(TCP),Application Data,192.168.1.135:37203,192.168.1.3:3389,135,170301004029d42b0bb92a701494a644e5074b77826ce8fe946e3291e59f119dc669207f1716be15ffcee567587f19ae836cbeb753cc206af6b3d16537bdddba5bd531540a
95,3.209115,TCP(TCP),37203 \xe2\x86\x92 3389 [ACK] Seq=3017 Ack=2434 Win=64128 Len=0 TSval=3980783271 TSecr=1226381,192.168.1.135:37203,192.168.1.3:3389,66,
91,2.957468,TCP(TCP),37203 \xe2\x86\x92 3389 [ACK] Seq=3017 Ack=2349 Win=64128 Len=0 TSval=3980783020 TSecr=1226356,192.168.1.135:37203,192.168.1.3:3389,66,
89,2.944686,TCP(TCP),37203 \xe2\x86\x92 3389 [ACK] Seq=3017 Ack=2264 Win=64128 Len=0 TSval=3980783007 TSecr=1226355,192.168.1.135:37203,192.168.1.3:3389,66,
87,2.943921,TCP(TCP),37203 \xe2\x86\x92 3389 [ACK] Seq=3017 Ack=2195 Win=64128 Len=0 TSval=3980783006 TSecr=1226355,192.168.1.135:37203,192.168.1.3:3389,66,
84,2.943185,TLSv1(TCP),Application Data,192.168.1.135:37203,192.168.1.3:3389,135,1703010040e8437ebbc0817b3887f877b7c8d3ecbc160241a816aebbc7010f2b65f6b40a556b147eeb42a9618b3de429e4318e22d4a6d7b5d30151c87b46ce8e17ed379cf2
82,2.942721,TLSv1(TCP),Application Data,192.168.1.135:37203,192.168.1.3:3389,151,1703010050ceca261dd4a40e6a23dd9c941212f35bf914dc98e9a631eec7d865db91c2062a5ed53459d4cfef5e04616ed721d304bdd64ffb85e6f89d5cf80885e8af03936be25746f2520dc7520737c1c1e766f512
80,2.9423,TLSv1(TCP),Application Data,192.168.1.135:37203,192.168.1.3:3389,135,170301004054f910719af5dc14aafcc98785c712752b376ee197acb76be7c4f1b917a577507500cb9780b25320bae55a14e6d7ce51416fde06bf44a8993375524828d2a56e
79,2.941927,TLSv1(TCP),Application Data,192.168.1.135:37203,192.168.1.3:3389,183,17030100706251dfe2e66d202d7ba275500f49b4082b6fba05b781ec6ec2fef5a1b706b008d944362f65a006e236a42a8195877015495f9f537b62e20659677e7e76276a0db57c1f044172eca39fd967c0794472832f7dae8fcc2bbdbbe98a6d7071b994906ca36d61fb0ab582a13a29cd687c986b
77,2.941372,TLSv1(TCP),Application Data,192.168.1.135:37203,192.168.1.3:3389,535,17030101d04cac44b27c4470eabdac654e2af494bc1f2afb21a8454e4a74c2b9ef939dcc0809d81bff91d5048c1e486dd9ead3477157648b943dcb2f37b785ae54cb3f7a6fd937e4969b985bb5c648308feb8b2130a3c35b1bec60c2d0116e62ad4ff3b56c9ec2672861248225f9d8f5fc46740d05f2875813355c893889d145a207e2e11083efe38bc184ddd64ca38d04e5c559c06c6ffcbf06e4dccdf8037e7145cbd77b4f1fa0fc594f3dd4130964f74f240b945fee984dc9484d636c2c73ae62c41691819962d04a93cf4ec047f62b7e2e3cbafb706e78732e9b8e977ad983defe6460ae5a95df2e087cafa2121005d6b818d869915e44d8ec41f7106d1176a9e627e1f59cfd9513f2e8896e55eea0a7ae9cd5f5b251571878453beb5d2311ce9f768b9eb369bbfd0b05c31c32b93fe2846db86f26a24f4253c23b7ad759325d451b4444f3b39846b2e8ee29ba9036bafed25b26cf6e29580565b54764d6a841587c2b93e7d80913acf6293cdf2a3e14a3dd80a066e200d30e4bc886fd8903a93a66779606693c51dee5049112d83019b99d1ff1b7d5eb3c5d0e48983a36104bac385e9bf5c89fc0e8c397cdeb7f460c90a18f1a31220c912ea749498adab9d5671805441dce69dc1c9b0b733cc089b229bbb3
76,2.940684,TCP(TCP),37203 \xe2\x86\x92 3389 [ACK] Seq=2208 Ack=1988 Win=64128 Len=0 TSval=3980783003 TSecr=1226355,192.168.1.135:37203,192.168.1.3:3389,66,
74,2.807563,TCP(TCP),37203 \xe2\x86\x92 3389 [ACK] Seq=2208 Ack=1535 Win=64128 Len=0 TSval=3980782870 TSecr=1226337,192.168.1.135:37203,192.168.1.3:3389,66,
71,2.762375,TLSv1(TCP),Application Data,192.168.1.135:37203,192.168.1.3:3389,455,17030101808042a90749ebc795d37f670ed6a28a6b2b52feca659950850bcf06418f9a9052bcb55ed42000b43d6aa7581d446b7805382e16faae782571dd49d0939bba889c0026bf22c1f28ce75acd4ca23d858e2d21fb7035f51ae7e2f78b9f9ea60d61e3ecbc0fe90bc6769e8ef4e92d0cf8c2962784c70430e1d8a0ecc8ad8791518bb233ed296dedd44002ad032529df457bf971da091f7d31480cb0ab3aa3d41960dedf4f9f2cfa86ffea019fde7ccfc4b610936ab4d2034863470e0771535b666e8c691f6641054a9913011b2cd97ca04b998ae19a74778575bcfb3f42337c1e1a6f8f6a6dc59962174ba131a34d6c33982a3312d08d6643f89ddcc2b5baab4e1f6c823888d8ed035ee99615dce38c4a1b0954045616b27fa573e17bfc53e33cb4c389a859ed449fdbeb491b64009723988a5f14be43111eeffdfa35f2ea2abf2ed473f5106ef77a6e3a569ba565fe6d3da566319e12fdbf76517897778bb176d295e475098751502f051fbdbae7998ce2efbb3d9de1ac2d89796f88f05109d8e6b5
69,2.761006,TLSv1(TCP),Application Data,192.168.1.135:37203,192.168.1.3:3389,119,17030100308b66853c31c8d280d3469ab0cacc711f14db3cac6671bdf3265327a81daed2e364088c22d1272e1479bdcdb01c88cda3
67,2.760098,TLSv1(TCP),Application Data,192.168.1.135:37203,192.168.1.3:3389,119,1703010030de8bb4f23dbb7996b069ab347cdc1f6fc012e717f2afd4a7b15afa6d4c8a0ea712c51d515624ae49558f00daaed1851b
65,2.759098,TLSv1(TCP),Application Data,192.168.1.135:37203,192.168.1.3:3389,119,17030100301b7ab50da6af9de9a7f282dd2150d9a11467dfac5add715e4f700dfa28d0ec181fba421cd596c9a78cb870a2604e6c99
63,2.758001,TLSv1(TCP),Application Data,192.168.1.135:37203,192.168.1.3:3389,119,17030100302796d5f611046a1eeaaf049ca630717d9732f0be29777db2b6b67bd6e7bf4b51dd0422d0c013b9dfbecbeaa6fd730bde
61,2.756726,TLSv1(TCP),Application Data,192.168.1.135:37203,192.168.1.3:3389,119,170301003097729f680ae8d070bf74a5a6e8a8f380a21592ff428458daedb5626ab8ac44ea670a2b242ab883e90ce2a385c7092683
